# temperature,rainfall,humidity,yield_of_corp
49,91,85,75.4
44,45,51,47.7
92,48,78,76.2
37,30,42,38.1
62,34,59,54.9
66,71,61,64.5
100,77,20,55.4
95,30,25,47.0
86,45,100,84.8
70,60,99,82.5
37,36,55,45.8
50,33,26,34.6
33,40,64,49.9
86,98,25,57.9
57,75,21,42.6
53,24,73,57.2
34,78,23,37.3
55,45,42,46.5
89,84,82,84.5
68,47,84,71.8
48,87,38,50.8
45,67,67,60.4
44,29,77,57.5
79,72,58,67.1
31,70,96,71.3
31,73,49,48.4
92,56,85,81.3
69,60,85,75.2
66,26,35,42.5
94,81,79,83.9
29,71,65,55.4
23,97,21,36.8
74,64,85,77.5
39,86,76,66.9
22,83,52,49.2
32,21,59,43.3
37,87,61,59.0
29,85,64,57.7
94,72,48,66.6
85,83,73,78.6
48,65,25,39.9
50,91,77,71.7
23,36,40,34.1
46,72,51,53.7
90,68,95,88.1
47,58,32,41.7
80,85,85,83.5
73,76,36,55.1
26,89,95,73.1
84,27,37,49.1
55,37,57,52.4
41,97,59,61.2
30,21,41,33.7
24,62,32,35.6
73,58,73,70.0
57,82,67,67.0
66,30,60,55.8
36,87,41,48.7
96,25,86,76.8
45,89,20,41.3
46,72,64,60.2
77,77,75,76.0
29,65,62,52.7
80,44,90,77.8
43,25,94,64.9
55,86,76,71.7
45,53,77,62.6
35,85,38,46.5
63,38,22,37.5
36,87,59,57.7
92,22,32,48.0
100,58,90,86.6
31,98,78,67.9
86,21,82,71.0
35,56,60,51.7
63,37,81,66.8
45,89,80,71.3
43,59,61,55.2
40,47,54,48.4
83,35,68,65.9
89,75,55,69.2
80,52,91,79.9
100,34,60,66.8
84,61,31,52.9
72,46,45,53.3
95,29,77,72.8
81,36,28,45.5
55,65,29,44.0
60,35,40,45.0
48,76,85,72.1
82,91,95,90.3
48,24,45,41.7
98,42,28,51.8
76,81,31,54.5
93,91,88,90.1
84,48,57,63.3
73,48,64,63.5
55,37,46,46.9
74,92,90,85.6
23,44,90,60.7
52,86,41,53.3
76,79,25,51.1
51,22,86,62.7
25,77,78,61.9
94,65,74,78.2
39,32,29,32.6
87,86,100,93.3
51,70,29,43.8
40,40,75,57.5
37,55,69,56.6
57,28,25,35.2
65,63,51,57.6
42,77,71,63.5
64,83,72,71.8
61,80,36,52.3
98,89,50,72.2
66,86,77,75.5
35,76,96,73.7
30,57,38,39.4
38,97,98,79.8
100,73,22,55.6
20,97,79,64.9
51,66,100,78.5
33,62,31,37.8
58,41,37,44.1
35,95,25,42.0
77,34,64,61.9
49,48,86,67.3
61,28,55,51.4
27,55,86,62.1
67,69,23,45.4
55,79,79,71.8
25,98,72,63.1
27,60,40,40.1
40,93,82,71.6
33,58,75,59.0
85,95,73,81.0
79,50,47,57.2
79,21,22,38.9
39,22,76,54.1
25,85,78,63.5
81,96,63,75.0
90,76,61,72.7
58,31,27,37.1
49,40,34,39.7
60,35,43,46.5
63,85,56,63.9
28,32,28,28.8
46,54,57,53.1
36,52,96,69.2
82,74,44,61.4
48,35,35,38.9
96,30,25,47.3
65,83,77,74.6
80,63,51,62.1
85,96,78,83.7
83,42,83,74.8
84,25,72,66.2
54,60,80,68.2
62,70,97,81.1
79,63,57,64.8
58,81,43,55.1
30,40,72,53.0
86,89,23,55.1
80,35,49,55.5
69,60,85,75.2
42,48,94,69.2
36,99,49,55.1
58,98,22,48.0
56,90,91,80.3
57,95,88,80.1
21,30,30,27.3
80,86,80,81.2
21,80,83,63.8
92,28,89,77.7
78,51,29,48.1
38,32,36,35.8
90,81,58,72.2
56,30,72,58.8
44,26,21,28.9
68,99,35,57.7
55,24,63,52.8
45,27,45,41.4
30,28,51,40.1
71,65,45,56.8
52,76,22,41.8
68,40,86,71.4
76,35,57,58.3
60,70,32,48.0
41,59,21,34.6
83,40,21,43.4
99,61,53,68.4
71,72,95,83.2
49,68,86,71.3
21,96,79,65.0
47,31,51,45.8
90,69,100,90.8
34,71,26,37.4
68,81,71,72.1
22,33,64,45.2
54,61,35,45.9
67,41,45,50.8
94,81,20,54.4
91,99,66,80.1
57,25,95,69.6
38,66,65,57.1
73,47,45,53.8
83,52,54,62.3
41,36,44,41.5
88,82,27,56.3
43,47,28,36.3
23,24,94,58.7
26,98,31,42.9
81,44,24,45.1
53,96,72,71.1
30,84,91,71.3
29,42,41,37.6
61,27,66,56.7
47,82,24,42.5
25,63,98,69.1
54,65,73,65.7
54,79,71,67.5
98,78,94,92.0
35,41,53,45.2
56,22,26,34.2
86,30,99,81.3
76,23,96,75.4
64,90,80,77.2
42,99,46,55.4
47,66,31,42.8
72,78,73,73.7
34,33,99,66.3
67,74,51,60.4
64,94,35,55.5
42,87,52,56.0
89,81,74,79.9
92,90,93,92.1
86,64,99,88.1
76,20,68,60.8
95,69,42,63.3
53,77,46,54.3
45,34,83,61.8
54,66,30,44.4
36,34,25,30.1
65,96,23,50.2
78,93,95,89.5
50,35,66,55.0
94,35,67,68.7
77,76,57,66.8
95,61,66,73.7
99,96,97,97.4
20,28,37,30.1
70,25,34,43.0
20,74,57,49.3
26,39,53,42.1
65,74,93,80.8
54,83,98,81.8
26,25,88,56.8
69,80,41,57.2
41,75,93,73.8
68,64,99,82.7
88,66,90,84.6
81,88,39,61.4
65,34,32,42.3
85,59,38,56.3
34,83,67,60.3
92,22,47,55.5
92,59,78,78.4
72,25,66,59.6
94,68,25,54.3
65,82,91,81.4
65,96,48,62.7
29,54,24,31.5
68,52,60,60.8
57,71,85,73.8
72,95,52,66.6
39,21,27,29.4
39,54,37,41.0
77,32,45,52.0
89,88,45,66.8
36,97,21,40.7
26,78,46,46.4
73,96,87,84.6
23,45,72,51.9
69,43,34,46.3
85,55,96,84.5
81,97,75,81.2
68,72,85,77.3
21,22,64,42.7
50,22,95,66.9
53,93,28,48.5
85,100,32,61.5
56,58,47,51.9
42,61,44,46.8
56,82,38,52.2
96,43,59,66.9
46,75,56,56.8
76,21,71,62.5
89,72,32,57.1
45,72,90,72.9
47,95,79,72.6
98,50,31,54.9
69,32,54,54.1
49,32,59,50.6
76,48,64,64.4
76,51,62,64.0
34,71,49,48.9
71,34,83,69.6
22,48,86,59.2
84,78,73,77.3
24,93,24,37.8
37,81,82,68.3
49,77,82,71.1
88,72,97,89.3
32,46,80,58.8
82,85,63,73.1
39,45,99,70.2
37,92,26,42.5
99,26,94,81.9
60,85,29,49.5
75,93,78,80.1
34,40,42,39.2
81,52,33,51.2
70,44,91,75.3
88,55,96,85.4
42,51,25,35.3
26,57,29,33.7
74,68,70,70.8
37,63,79,63.2
48,73,22,40.0
97,92,59,77.0
99,62,96,90.1
24,75,60,52.2
52,80,36,49.6
29,75,92,69.7
47,39,74,58.9
34,35,86,60.2
52,51,25,38.3
93,42,78,75.3
81,100,45,66.8
100,80,26,59.0
63,48,61,59.0
48,51,47,48.1
27,73,78,61.7
60,98,95,85.1
78,79,22,50.2
99,30,42,56.7
91,27,71,68.2
85,95,20,54.5
51,90,39,52.8
37,67,96,72.5
46,94,24,44.6
51,99,37,53.6
76,39,63,62.1
74,70,20,46.2
53,88,26,46.5
95,69,90,87.3
64,38,64,58.8
68,88,22,49.0
79,55,66,67.7
87,39,63,65.4
85,100,90,90.5
84,40,52,59.2
55,70,48,54.5
47,79,57,58.4
59,52,56,56.1
84,83,43,63.3
27,71,70,57.3
85,81,75,79.2
40,52,36,40.4
58,26,84,64.6
64,92,59,67.1
63,68,78,71.5
79,46,73,69.4
51,68,24,40.9
54,63,69,63.3
75,61,68,68.7
30,48,33,35.1
96,65,87,85.3
43,69,48,50.7
55,87,42,54.9
88,59,33,54.7
57,75,91,77.6
43,59,56,52.7
88,100,76,84.4
24,31,62,44.4
26,37,68,49.2
73,36,77,67.6
70,43,79,69.1
29,91,93,73.4
49,66,28,41.9
53,53,85,69.0
35,28,73,52.6
94,83,59,74.3
24,47,39,36.1
88,43,78,74.0
28,25,76,51.4
53,87,30,48.3
36,55,46,44.8
27,66,46,44.3
39,34,55,46.0
40,43,47,44.1
34,68,49,48.3
97,42,26,50.5
53,54,87,70.2
51,84,36,50.1
74,65,94,82.2
87,44,54,61.9
42,55,66,56.6
83,86,37,60.6
30,50,46,42.0
36,75,77,64.3
51,57,20,36.7
98,35,73,72.9
66,29,73,62.1
48,80,41,50.9
90,83,63,75.1
52,46,60,54.8
61,75,75,70.8
44,34,32,36.0
69,32,35,44.6
35,45,36,37.5
81,65,33,53.8
21,44,86,58.1
90,81,83,84.7
41,86,52,55.5
35,79,22,37.3
38,46,94,67.6
99,35,83,78.2
48,54,97,73.7
98,54,34,57.2
49,62,52,53.1
28,72,84,64.8
39,58,66,56.3
62,59,74,67.4
49,60,26,39.7
90,90,47,68.5
40,32,49,42.9
62,75,72,69.6
21,34,32,29.1
85,38,75,70.6
81,70,43,59.8
42,80,69,63.1
39,21,92,61.9
94,96,99,96.9
43,55,42,44.9
41,85,41,49.8
57,95,56,64.1
64,21,20,33.4
48,23,29,33.5
43,29,86,61.7
100,60,50,67.0
42,27,83,59.5
42,99,27,45.9
99,39,88,81.5
61,20,95,69.8
64,60,75,68.7
100,60,27,55.5
84,35,76,70.2
75,32,97,77.4
67,97,96,87.5
22,24,34,28.4
37,76,92,72.3
49,64,83,69.0
38,22,60,45.8
81,45,100,83.3
25,85,77,63.0
96,66,93,88.5
74,84,38,58.0
24,62,22,30.6
43,24,34,34.7
92,47,34,54.0
50,70,60,59.0
45,86,65,63.2
35,40,65,51.0
44,100,63,64.7
28,42,21,27.3
52,65,68,62.6
32,88,89,71.7
70,55,97,80.5
55,90,75,72.0
71,66,39,54.0
24,51,27,30.9
83,53,89,80.0
89,33,38,52.3
61,71,56,60.5
65,46,69,63.2
90,25,90,77.0
56,66,32,46.0
20,33,71,48.1
60,36,23,36.7
29,30,22,25.7
61,26,44,45.5
81,80,57,68.8
84,32,96,79.6
27,53,28,32.7
92,85,89,89.1
68,63,21,43.5
22,73,40,41.2
54,29,93,68.5
38,23,60,46.0
43,73,92,73.5
59,90,31,51.2
80,57,69,69.9
72,81,78,76.8
22,44,61,45.9
74,82,22,49.6
69,91,98,87.9
22,90,37,43.1
63,33,23,37.0
62,61,62,61.8
33,44,87,62.2
73,53,22,43.5
76,88,99,89.9
43,56,77,62.6
75,83,82,80.1
32,77,49,49.5
81,66,29,52.0
94,51,42,59.4
35,57,82,62.9
64,70,60,63.2
71,30,99,76.8
30,93,23,39.1
24,98,90,71.8
85,89,78,82.3
28,78,53,50.5
38,30,27,30.9
63,70,20,42.9
100,45,87,82.5
72,27,81,67.5
31,97,47,52.2
21,85,66,56.3
100,34,44,58.8
28,89,25,38.7
38,84,44,50.2
47,26,45,41.8
33,70,33,40.4
35,77,75,63.4
32,75,85,67.1
96,74,68,77.6
51,66,35,46.0
46,25,86,61.8
31,39,79,56.6
26,92,38,45.2
54,57,50,52.6
95,39,22,47.3
74,56,32,49.4
99,57,86,84.1
26,22,33,28.7
87,61,81,78.8
41,97,40,51.7
97,67,49,67.0
99,41,51,63.4
73,21,56,54.1
44,22,27,31.1
53,72,26,43.3
34,27,95,63.1
80,49,40,53.8
93,75,69,77.4
25,94,90,71.3
100,31,20,46.2
57,75,60,62.1
80,89,74,78.8
69,38,72,64.3
50,70,66,62.0
68,100,55,67.9
79,58,79,74.8
86,44,32,50.6
37,67,98,73.5
82,65,35,55.1
32,45,49,43.1
76,62,30,50.2
68,35,23,38.9
60,96,24,49.2
73,81,27,51.6
22,49,48,40.4
29,97,59,57.6
44,41,61,51.9
86,97,73,81.7
67,23,79,64.2
72,55,52,58.6
60,21,34,39.2
86,79,99,91.1
37,33,60,47.7
25,68,52,47.1
86,29,31,47.1
67,48,32,45.7
87,63,64,70.7
20,75,65,53.5
94,53,45,61.3
35,28,64,48.1
69,21,60,54.9
68,82,33,53.3
92,32,42,55.0
65,61,67,65.2
86,82,67,75.7
39,95,39,50.2
76,79,27,52.1
58,38,83,66.5
22,55,76,55.6
59,93,75,73.8
72,88,36,57.2
67,60,98,81.1
71,46,76,68.5
63,72,97,81.8
40,37,33,35.9
51,72,26,42.7
91,53,93,84.4
99,66,83,84.4
23,75,37,40.4
21,65,27,32.8
25,57,61,49.4
89,33,30,48.3
88,69,51,65.7
27,72,63,54.0
68,24,93,71.7
80,80,33,56.5
98,30,33,51.9
87,26,76,69.3
51,40,28,37.3
72,57,82,74.0
23,61,54,46.1
25,77,62,53.9
95,86,55,73.2
50,29,99,70.3
85,32,72,67.9
57,63,59,59.2
73,99,92,87.7
31,32,49,40.2
50,94,30,48.8
71,94,33,56.6
24,80,48,47.2
95,63,88,85.1
21,99,55,53.6
36,34,89,62.1
59,33,28,38.3
51,23,85,62.4
76,50,79,72.3
37,69,34,41.9
33,33,36,34.5
43,25,87,61.4
53,23,75,58.0
42,44,33,37.9
88,83,53,69.5
88,38,34,51.0
55,72,22,41.9
90,48,94,83.6
33,86,58,56.1
80,91,38,61.2
46,46,36,41.0
44,29,60,49.0
83,80,48,64.9
42,86,47,53.3
35,58,44,44.1
81,43,20,42.9
55,45,49,50.0
87,28,24,43.7
31,78,58,53.9
45,38,29,35.6
95,52,77,77.4
63,32,96,73.3
40,33,58,47.6
46,91,63,63.5
80,33,74,67.6
41,41,39,40.0
42,96,48,55.8
41,61,57,53.0
22,37,90,59.0
90,64,35,57.3
81,24,60,59.1
52,56,34,43.8
80,32,69,64.9
86,35,70,67.8
35,97,65,62.4
26,30,96,61.8
60,89,76,73.8
28,22,93,59.3
48,93,71,68.5
40,63,29,39.1
98,75,58,73.4
99,97,38,68.1
45,83,71,65.6
61,29,100,74.1
30,36,55,43.7
49,47,46,47.1
96,83,58,74.4
33,51,26,33.1
52,77,23,42.5
85,65,28,52.5
84,51,25,47.9
51,31,96,69.5
88,46,35,53.1
43,59,60,54.7
30,51,61,49.7
48,80,42,51.4
80,66,38,56.2
73,88,57,68.0
42,53,74,60.2
35,40,61,49.0
26,87,36,43.2
96,95,34,64.8
41,58,84,65.9
99,45,56,66.7
80,54,75,72.3
32,81,38,44.8
65,33,77,64.6
47,83,26,43.7
28,62,40,40.8
59,97,88,81.1
30,89,29,41.3
25,23,56,40.1
44,55,74,61.2
72,99,92,87.4
100,49,48,63.8
96,87,46,69.2
22,80,47,46.1
46,49,37,42.1
58,20,65,53.9
32,77,87,68.5
39,20,93,62.2
38,22,97,64.3
89,79,88,86.5
69,90,67,72.2
84,89,79,82.5
27,79,100,73.9
66,88,52,63.4
45,37,25,33.4
49,58,40,46.3
51,100,98,84.3
91,46,79,76.0
32,88,93,73.7
83,97,89,88.8
79,93,26,55.3
51,98,20,44.9
27,27,46,36.5
42,87,77,68.5
35,95,46,52.5
89,40,67,68.2
37,42,47,43.0
35,77,51,51.4
42,40,64,52.6
28,64,35,38.7
100,89,94,94.8
96,58,52,66.4
82,55,33,52.1
37,71,77,63.8
68,65,41,53.9
92,88,59,74.7
88,85,58,72.4
35,35,62,48.5
99,21,88,77.9
93,29,88,77.7
49,87,63,63.6
93,99,77,86.2
40,83,41,49.1
57,60,74,66.1
82,66,63,69.3
60,62,27,43.9
63,96,71,73.6
95,47,65,70.4
29,88,28,40.3
95,72,59,72.4
65,96,79,78.2
37,22,26,28.5
40,38,37,38.1
98,36,48,60.6
51,28,71,56.4
76,80,69,73.3
41,88,30,44.9
88,87,27,57.3
55,36,56,51.7
89,32,63,64.6
44,59,68,59.0
85,83,69,76.6
36,93,55,56.9
22,37,73,50.5
70,84,77,76.3
43,54,51,49.2
67,21,86,67.3
98,43,50,63.0
68,40,84,70.4
38,94,82,71.2
35,81,27,40.2
56,79,52,58.6
64,37,58,55.6
52,93,94,81.2
54,48,96,73.8
81,56,85,78.0
30,55,27,33.5
76,81,92,85.0
75,72,89,81.4
33,27,79,54.8
89,81,21,53.4
47,22,70,53.5
22,29,20,22.4
48,37,51,47.3
45,46,42,43.7
26,31,78,53.0
28,44,34,34.2
84,82,63,73.1
71,45,98,79.3
83,68,98,87.5
45,48,31,38.6
68,37,46,50.8
66,94,98,87.6
48,35,20,31.4
39,97,85,73.6
27,55,92,65.1
58,45,87,69.9
99,64,21,53.0
36,55,65,54.3
65,37,66,59.9
46,89,61,62.1
20,90,82,65.0
73,21,30,41.1
60,52,71,63.9
43,86,62,61.1
80,79,80,79.8
59,42,21,36.6
41,52,87,66.2
67,91,52,64.3
69,39,55,56.0
69,62,95,80.6
45,64,67,59.8
60,26,64,55.2
68,33,58,56.0
96,21,73,69.5
71,38,86,71.9
96,34,68,69.6
97,28,31,50.2
39,50,34,38.7
95,92,89,91.4
89,22,73,67.6
72,78,95,84.7
80,42,46,55.4
28,74,40,43.2
83,31,83,72.6
69,77,97,84.6
76,46,40,52.0
33,53,38,39.5
29,84,79,65.0
54,35,89,67.7
32,38,37,35.7
61,40,91,71.8
75,27,92,73.9
80,49,92,79.8
90,65,35,57.5
46,77,97,77.7
95,40,61,67.0
39,80,99,77.2
62,29,77,62.9
96,55,80,79.8
45,30,99,69.0
95,42,27,50.4
41,43,29,35.4
52,51,35,43.3
59,22,80,62.1
62,30,83,66.1
22,34,37,31.9
86,71,69,74.5
47,55,54,52.1
79,67,89,81.6
92,67,86,84.0
84,39,77,71.5
58,52,27,41.3
35,86,52,53.7
35,81,54,53.7
90,82,60,73.4
95,100,66,81.5
75,97,24,53.9
87,59,81,78.4
93,41,94,83.1
81,47,98,82.7
65,71,91,79.2
87,20,84,72.1
82,71,100,88.8
87,41,99,83.8
45,96,89,77.2
26,81,81,64.5
23,94,82,66.7
25,77,91,68.4
73,100,72,77.9
68,37,20,37.8
39,61,50,48.9
62,74,38,52.4
92,58,81,79.7
86,20,24,41.8
69,95,58,68.7
90,73,61,72.1
65,55,80,70.5
43,48,97,71.0
80,24,76,66.8
68,45,60,59.4
76,34,91,75.1
69,64,77,72.0
44,72,91,73.1
68,40,91,73.9
83,85,43,63.4
72,40,25,42.1
54,80,97,80.7
66,72,32,50.2
20,66,26,32.2
98,86,42,67.6
92,64,91,85.9
29,48,69,52.8
77,58,23,46.2
92,48,26,50.2
80,77,38,58.4
23,39,54,41.7
94,85,52,71.2
98,59,100,91.2
55,55,23,39.0
21,72,98,69.7
42,98,96,80.2
61,70,73,68.8
46,59,40,45.6
27,86,36,43.3
48,91,58,61.6
72,54,66,65.4
51,56,100,76.5
61,86,95,83.0
42,92,86,74.0
85,33,53,58.6
33,32,95,63.8
86,21,77,68.5
94,49,83,79.5
24,26,94,59.4
30,97,73,64.9
69,89,93,85.0
60,71,94,79.2
30,99,36,46.8
92,74,62,73.4
91,61,80,79.5
59,74,23,44.0
70,50,90,76.0
53,79,59,61.2
40,58,29,38.1
71,91,28,53.5
85,77,78,79.9
88,29,65,64.7
34,79,76,64.0
41,58,89,68.4
20,63,82,59.6
59,68,30,46.3
30,84,32,41.8
51,38,75,60.4
38,23,95,63.5
32,83,52,52.2
74,33,56,56.8
99,45,28,52.7
53,28,21,32.0
39,29,64,49.5
67,72,80,74.5
75,25,64,59.5
23,77,33,38.8
73,98,31,57.0
93,86,95,92.6
100,99,67,83.3
85,30,40,51.5
44,76,52,54.4
26,52,49,42.7
100,58,90,86.6
48,50,51,49.9
41,40,83,61.8
79,78,85,81.8
45,73,29,42.6
47,79,38,48.9
53,53,79,66.0
97,96,52,74.3
61,54,90,74.1
58,52,94,74.8
78,29,58,58.2
36,54,30,36.6
24,42,68,49.6
95,54,61,69.8
85,90,53,70.0
81,35,93,77.8
71,21,57,54.0
24,71,97,69.9
30,56,98,69.2
83,20,46,51.9
49,34,81,62.0
38,24,94,63.2
99,87,83,88.6
55,88,60,64.1
82,69,28,52.4
44,49,29,37.5
85,79,87,84.8
94,69,79,81.5
24,33,69,48.3
35,56,83,63.2
32,73,52,50.2
49,46,64,55.9
25,57,80,58.9
42,97,33,48.5
80,99,84,85.8
85,85,51,68.0
81,57,74,72.7
38,71,34,42.6
23,25,40,31.9
85,32,39,51.4
95,81,91,90.2
46,100,79,73.3
98,27,90,79.8
99,22,100,84.1
73,34,45,51.2
21,45,97,63.8
69,76,38,54.9
55,78,95,79.6
27,73,79,62.2
23,72,49,45.8
48,70,80,68.4
87,73,74,77.7
52,31,47,45.3
78,98,73,79.5
82,89,53,68.9
70,77,28,50.4
72,25,88,70.6
48,52,66,57.8
55,50,84,68.5
44,52,31,39.1
44,49,70,58.0
50,44,88,67.8
38,43,72,56.0
80,98,92,89.6
44,54,76,62.0
60,50,75,65.5
50,62,88,71.4
39,26,83,58.4
38,43,60,50.0
87,26,69,65.8
68,90,41,58.9
70,83,60,67.6
44,35,23,31.7
61,100,48,62.3
84,28,60,60.8
96,89,90,91.6
51,69,75,66.6
55,53,20,37.1
73,100,76,79.9
89,31,92,78.9
27,81,68,58.3
57,67,45,53.0
49,90,29,47.2
52,73,67,63.7
78,66,97,85.1
81,34,75,68.6
100,20,96,82.0
65,45,38,47.5
42,85,65,62.1
29,34,56,43.5
75,73,97,85.6
96,92,56,75.2
21,23,67,44.4
90,87,61,74.9
69,53,43,52.8
65,55,93,77.0
46,32,48,44.2
91,58,73,75.4
91,60,43,60.8
22,54,63,48.9
64,99,40,59.0
70,86,29,52.7
31,88,28,40.9
89,20,71,66.2
62,77,49,58.5
67,100,26,53.1
51,29,36,39.1
48,97,35,51.3
71,97,29,55.2
29,36,92,61.9
54,56,73,63.9
68,79,48,60.2
47,98,87,77.2
27,26,81,53.8
66,44,31,44.1
58,31,98,72.6
50,92,48,57.4
96,53,49,63.9
87,54,97,85.4
71,56,47,56.0
92,67,56,69.0
74,31,55,55.9
25,57,85,61.4
26,24,93,59.1
26,23,69,46.9
49,92,96,81.1
39,98,69,65.8
38,36,82,59.6
27,23,51,38.2
79,97,47,66.6
80,84,50,65.8
47,79,27,43.4
45,91,88,75.7
78,29,91,74.7
36,59,85,65.1
38,55,43,43.9
42,98,81,72.7
100,49,26,52.8
58,41,76,63.6
31,24,49,38.6
89,27,33,48.6
62,93,42,58.2
53,71,76,68.1
81,86,89,86.0
82,88,86,85.2
50,89,75,70.3
56,76,56,60.0
54,57,75,65.1
38,94,78,69.2
58,79,74,70.2
53,70,83,71.4
55,62,58,57.9
74,36,64,61.4
87,36,33,49.8
96,61,64,73.0
71,86,86,81.5
37,36,57,46.8
75,70,31,52.0
95,57,75,77.4
66,29,89,70.1
57,97,41,57.0
42,92,90,76.0
67,20,83,65.6
26,91,70,61.0
38,28,41,37.5
90,30,30,48.0
98,67,50,67.8
42,20,53,43.1
44,21,41,37.9
54,79,53,58.5
81,56,22,46.5
75,57,33,50.4
47,80,28,44.1
56,56,94,75.0
99,91,88,91.9
35,45,91,65.0
35,57,65,54.4
45,71,50,52.7
25,95,65,59.0
70,56,90,77.2
50,33,54,48.6
89,38,93,80.8
32,91,96,75.8
98,92,57,76.3
92,49,35,54.9
29,47,62,49.1
43,39,89,65.2
85,98,20,55.1
44,92,62,62.6
61,61,81,71.0
59,79,40,53.5
87,61,83,79.8
43,39,35,38.2
64,75,85,76.7
52,20,92,65.6
21,91,80,64.5
28,53,85,61.5
22,86,28,37.8
53,86,93,79.6
99,55,28,54.7
62,96,71,73.3
32,98,57,57.7
81,100,58,73.3
90,87,100,94.4
60,58,76,67.6
80,60,98,85.0
77,75,98,87.1
48,63,71,62.5
51,94,77,72.6
53,99,65,68.2
31,62,72,57.7
91,93,26,58.9
93,96,33,63.6
31,68,26,35.9
49,75,41,50.2
92,30,60,63.6
70,82,93,83.9
20,93,74,61.6
58,42,47,49.3
42,78,80,68.2
67,60,49,56.6
75,57,70,68.9
92,20,45,54.1
82,50,58,63.6
75,69,88,80.3
95,69,43,63.8
20,59,36,35.8
57,40,82,66.1
91,28,72,68.9
98,30,73,71.9
80,54,32,50.8
68,89,21,48.7
56,65,37,48.3
61,30,46,47.3
72,51,64,63.8
78,80,64,71.4
34,96,89,73.9
88,49,73,72.7
54,63,42,49.8
59,67,27,44.6
67,65,36,51.1
79,62,75,73.6
76,47,46,55.2
81,27,68,63.7
50,41,77,61.7
37,20,38,34.1
87,87,54,70.5
85,94,53,70.8
60,77,57,61.9
52,93,36,52.2
83,52,65,67.8
24,79,26,36.0
56,88,91,79.9
67,70,88,78.1
27,56,97,67.8
91,36,58,63.5
74,83,64,70.8
44,91,37,49.9
91,29,72,69.1
63,75,25,46.4
42,62,91,70.5
86,92,71,79.7
99,63,47,65.8
26,62,60,50.2
91,60,79,78.8
39,54,73,59.0
98,58,70,76.0
62,80,64,66.6
82,97,79,83.5
51,50,79,64.8
86,55,70,71.8
54,73,40,50.8
20,49,68,49.8
33,84,100,76.7
79,36,86,73.9
83,85,22,52.9
44,97,28,46.6
44,61,53,51.9
54,47,84,67.6
31,70,73,59.8
40,78,46,50.6
53,30,77,60.4
39,34,49,43.0
39,74,37,45.0
39,91,69,64.4
96,48,48,62.4
95,79,74,81.3
25,64,48,44.3
71,58,82,73.9
78,78,74,76.0
76,20,46,49.8
54,50,70,61.2
37,60,43,44.6
81,50,29,48.8
53,60,35,45.4
43,53,45,46.0
100,74,85,87.3
76,36,30,45.0
78,89,32,57.2
78,86,83,82.1
77,42,90,76.5
26,98,25,39.9
51,72,82,70.7
93,63,94,87.5
60,71,59,61.7
